Date,Session (Menti),MnDOT District,MnDOT District (Clean),Event,Source,Zip Code (Clean),Zip Code,Gender Identity,Gender Identity (Clean),Age,Age Range,Race/ Ethnicity,Race/Ethnicity (Clean),What are the top five improvements you feel are most important?:,What are the top five improvements you feel are most important?: 1,What are the top five improvements you feel are most important?: 1_Cleaned,What are the top five improvements you feel are most important?: 2,What are the top five improvements you feel are most important?: 2_Cleaned,What are the top five improvements you feel are most important?: 3,What are the top five improvements you feel are most important?: 3_Cleaned,What are the top five improvements you feel are most important?: 4,What are the top five improvements you feel are most important?: 4_Cleaned,What are the top five improvements you feel are most important?: 5,What are the top five improvements you feel are most important?: 5_Cleaned,Which approach best aligns with your vision for the state highway system?:,Which approach best aligns with your vision for the state highway system?:,Which approach best aligns with your vision for the state highway system?_Cleaned,What else would you like us to know?: (ENGLISH),What else would you like us to know?: (SPANISH/HMONG),Topic Category
2022-07-13,ATP 1,District 1,District 1,,Mentimeter,,,,No Response,,No Response,,No Response,Heart,Partner with cities and counties to address quality of life and economic development,Partner with cities and counties to address community priorities including quality of life and economic development,Adapt infrastructure to resist damage from extreme weather events and improve  resilience,Adapt infrastructure to resist damage from extreme weather events and improve resilience,Improve condition of bridges through more repair and replacement projects,Improve condition of bridges through more repair and replacement projects,"Improve condition of other roadside infrastructure like signals, culverts, lighting, walls, and guardrail","Improve condition of roadside infrastructure like signals, culverts, lighting, walls, and guardrail",Add more freight mobility and safety improvements,Add more freight mobility and safety improvements,,Prioritize Bridges,Prioritize Bridges,,,
2022-07-13,ATP 1,District 1,District 1,,Mentimeter,,,,No Response,,No Response,,No Response,Heart,Adapt infrastructure to resist damage from extreme weather events and improve  resilience,Adapt infrastructure to resist damage from extreme weather events and improve resilience,"Improve condition of other roadside infrastructure like signals, culverts, lighting, walls, and guardrail","Improve condition of roadside infrastructure like signals, culverts, lighting, walls, and guardrail",Maintain and expand pedestrian and bicycle infrastructure including making it accessible for all,Maintain and expand pedestrian and bicycle infrastructure including making it accessible for all,Partner with cities and counties to address quality of life and economic development,Partner with cities and counties to address community priorities including quality of life and economic development,Focus on reducing unexpected travel delays through mobility and capacity improvements,Focus on reducing unexpected travel delays through mobility and capacity improvements,Heart,Improve Mobility for All Highway Users,Improve Mobility for All Highway Users,Will climate/emmissions predictions be included in the draft investment direction,,
2022-07-13,ATP 1,District 1,District 1,,Mentimeter,,,,No Response,,No Response,,No Response,Heart,Improve condition of bridges through more repair and replacement projects,Improve condition of bridges through more repair and replacement projects,"Improve condition of other roadside infrastructure like signals, culverts, lighting, walls, and guardrail","Improve condition of roadside infrastructure like signals, culverts, lighting, walls, and guardrail",Focus on addressing improvements in urban areas including small towns and main streets,Focus on addressing improvements in urban areas including small towns and main streets,Maintain and expand pedestrian and bicycle infrastructure including making it accessible for all,Maintain and expand pedestrian and bicycle infrastructure including making it accessible for all,Maintain smooth driving surface through repair and reconstruction projects,Maintain smooth driving surface through more repair and reconstruction projects,,Focus on Safe and Equitable Communities,Focus on Safe and Equitable Communities,,,
2022-07-13,ATP 1,District 1,District 1,,Mentimeter,,,,No Response,,No Response,,No Response,Heart,Adapt infrastructure to resist damage from extreme weather events and improve  resilience,Adapt infrastructure to resist damage from extreme weather events and improve resilience,Add more freight mobility and safety improvements,Add more freight mobility and safety improvements,Focus on addressing improvements in urban areas including small towns and main streets,Focus on addressing improvements in urban areas including small towns and main streets,Maintain smooth driving surface through repair and reconstruction projects,Maintain smooth driving surface through more repair and reconstruction projects,"Improve condition of other roadside infrastructure like signals, culverts, lighting, walls, and guardrail","Improve condition of roadside infrastructure like signals, culverts, lighting, walls, and guardrail",,Improve Mobility for All Highway Users,Improve Mobility for All Highway Users,,,
2022-07-13,ATP 1,District 1,District 1,,Mentimeter,,,,No Response,,No Response,,No Response,,Adapt infrastructure to resist damage from extreme weather events and improve  resilience,Adapt infrastructure to resist damage from extreme weather events and improve resilience,Add more freight mobility and safety improvements,Add more freight mobility and safety improvements,Partner with cities and counties to address quality of life and economic development,Partner with cities and counties to address community priorities including quality of life and economic development,Maintain and expand pedestrian and bicycle infrastructure including making it accessible for all,Maintain and expand pedestrian and bicycle infrastructure including making it accessible for all,"Improve condition of other roadside infrastructure like signals, culverts, lighting, walls, and guardrail","Improve condition of roadside infrastructure like signals, culverts, lighting, walls, and guardrail",,Focus on Safe and Equitable Communities,Focus on Safe and Equitable Communities,,,
2022-07-13,ATP 1,District 1,District 1,,Mentimeter,,,,No Response,,No Response,,No Response,,Improve condition of bridges through more repair and replacement projects,Improve condition of bridges through more repair and replacement projects,Add more freight mobility and safety improvements,Add more freight mobility and safety improvements,Focus on reducing unexpected travel delays through mobility and capacity improvements,Focus on reducing unexpected travel delays through mobility and capacity improvements,Partner with cities and counties to address quality of life and economic development,Partner with cities and counties to address community priorities including quality of life and economic development,Focus on addressing improvements in urban areas including small towns and main streets,Focus on addressing improvements in urban areas including small towns and main streets,,Improve Mobility for All Highway Users,Improve Mobility for All Highway Users,,,
2022-07-13,ATP 1,District 1,District 1,,Mentimeter,,,,No Response,,No Response,,No Response,,Improve condition of bridges through more repair and replacement projects,Improve condition of bridges through more repair and replacement projects,Focus on reducing unexpected travel delays through mobility and capacity improvements,Focus on reducing unexpected travel delays through mobility and capacity improvements,Maintain smooth driving surface through repair and reconstruction projects,Maintain smooth driving surface through more repair and reconstruction projects,Adapt infrastructure to resist damage from extreme weather events and improve  resilience,Adapt infrastructure to resist damage from extreme weather events and improve resilience,Add more freight mobility and safety improvements,Add more freight mobility and safety improvements,,Prioritize Pavements/Current Approach,Prioritize Pavements/Current Approach,All of the new approaches of addressing wants vs needs come at a price of the highway needs falling equally further behind where we already are. These new approaches should only happen after all needs are funded and new monies are injected.,,
2022-07-13,ATP 1,District 1,District 1,,Mentimeter,,,,No Response,,No Response,,No Response,,Focus on reducing unexpected travel delays through mobility and capacity improvements,Focus on reducing unexpected travel delays through mobility and capacity improvements,Maintain and expand pedestrian and bicycle infrastructure including making it accessible for all,Maintain and expand pedestrian and bicycle infrastructure including making it accessible for all,Improve readiness for changing transportation technology,Improve readiness for changing transportation technology,Add more freight mobility and safety improvements,Add more freight mobility and safety improvements,"Improve condition of other roadside infrastructure like signals, culverts, lighting, walls, and guardrail","Improve condition of roadside infrastructure like signals, culverts, lighting, walls, and guardrail",,Improve Mobility for All Highway Users,Improve Mobility for All Highway Users,,,
2022-07-13,ATP 1,District 1,District 1,,Mentimeter,,,,No Response,,No Response,,No Response,,Improve readiness for changing transportation technology,Improve readiness for changing transportation technology,Maintain smooth driving surface through repair and reconstruction projects,Maintain smooth driving surface through more repair and reconstruction projects,Improve condition of bridges through more repair and replacement projects,Improve condition of bridges through more repair and replacement projects,Adapt infrastructure to resist damage from extreme weather events and improve  resilience,Adapt infrastructure to resist damage from extreme weather events and improve resilience,Partner with cities and counties to address quality of life and economic development,Partner with cities and counties to address community priorities including quality of life and economic development,,Prioritize Pavements/Current Approach,Prioritize Pavements/Current Approach,Other sources of revenue?,,
2022-07-13,ATP 1,District 1,District 1,,Mentimeter,,,,No Response,,No Response,,No Response,,Improve condition of bridges through more repair and replacement projects,Improve condition of bridges through more repair and replacement projects,Add new safety improvements,Add new safety improvements,Maintain smooth driving surface through repair and reconstruction projects,Maintain smooth driving surface through more repair and reconstruction projects,Focus on addressing improvements in urban areas including small towns and main streets,Focus on addressing improvements in urban areas including small towns and main streets,Add more freight mobility and safety improvements,Add more freight mobility and safety improvements,,Prioritize Pavements/Current Approach,Prioritize Pavements/Current Approach,Safety should be a priority.,,
2022-07-13,ATP 1,District 1,District 1,,Mentimeter,,,,No Response,,No Response,,No Response,,Improve condition of bridges through more repair and replacement projects,Improve condition of bridges through more repair and replacement projects,Add more freight mobility and safety improvements,Add more freight mobility and safety improvements,Add new safety improvements,Add new safety improvements,Maintain smooth driving surface through repair and reconstruction projects,Maintain smooth driving surface through more repair and reconstruction projects,Focus on reducing unexpected travel delays through mobility and capacity improvements,Focus on reducing unexpected travel delays through mobility and capacity improvements,Heart,Prioritize Pavements/Current Approach,Prioritize Pavements/Current Approach,,,
2022-07-13,ATP 1,District 1,District 1,,Mentimeter,,,,No Response,,No Response,,No Response,,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,Focus on Safe and Equitable Communities,Focus on Safe and Equitable Communities,,,
2022-07-13,ATP 1,District 1,District 1,,Mentimeter,,,,No Response,,No Response,,No Response,,"Improve condition of other roadside infrastructure like signals, culverts, lighting, walls, and guardrail","Improve condition of roadside infrastructure like signals, culverts, lighting, walls, and guardrail",Add new safety improvements,Add new safety improvements,Maintain smooth driving surface through repair and reconstruction projects,Maintain smooth driving surface through more repair and reconstruction projects,Focus on addressing improvements in urban areas including small towns and main streets,Focus on addressing improvements in urban areas including small towns and main streets,Improve condition of bridges through more repair and replacement projects,Improve condition of bridges through more repair and replacement projects,,Prioritize Pavements/Current Approach,Prioritize Pavements/Current Approach,,,
2022-07-18,SW RDC,District 7 & 8,District 7 & 8,,Mentimeter,,,,No Response,,No Response,,No Response,,Improve readiness for changing transportation technology,Improve readiness for changing transportation technology,Partner with cities and counties to address quality of life and economic development,Partner with cities and counties to address community priorities including quality of life and economic development,Focus on addressing improvements in urban areas including small towns and main streets,Focus on addressing improvements in urban areas including small towns and main streets,"Improve condition of other roadside infrastructure like signals, culverts, lighting, walls, and guardrail","Improve condition of roadside infrastructure like signals, culverts, lighting, walls, and guardrail",Improve condition of bridges through more repair and replacement projects,Improve condition of bridges through more repair and replacement projects,,Improve Mobility for All Highway Users,Improve Mobility for All Highway Users,Nothing now.,,
2022-07-18,SW RDC,District 7 & 8,District 7 & 8,,Mentimeter,56175,56175,Female,Female,32,25-34,,No Response,,"Improve condition of other roadside infrastructure like signals, culverts, lighting, walls, and guardrail","Improve condition of roadside infrastructure like signals, culverts, lighting, walls, and guardrail",Partner with cities and counties to address quality of life and economic development,Partner with cities and counties to address community priorities including quality of life and economic development,Adapt infrastructure to resist damage from extreme weather events and improve  resilience,Adapt infrastructure to resist damage from extreme weather events and improve resilience,Improve condition of bridges through more repair and replacement projects,Improve condition of bridges through more repair and replacement projects,Improve readiness for changing transportation technology,Improve readiness for changing transportation technology,Heart,Improve Mobility for All Highway Users,Improve Mobility for All Highway Users,,,
2022-07-18,SW RDC,District 7 & 8,District 7 & 8,,Mentimeter,,,,No Response,,No Response,,No Response,,Improve condition of bridges through more repair and replacement projects,Improve condition of bridges through more repair and replacement projects,Partner with cities and counties to address quality of life and economic development,Partner with cities and counties to address community priorities including quality of life and economic development,Maintain and expand pedestrian and bicycle infrastructure including making it accessible for all,Maintain and expand pedestrian and bicycle infrastructure including making it accessible for all,Maintain rest areas for the safety and health of travelers and truck drivers,Maintain rest areas for the safety and health of travelers and truck drivers,,#N/A,,Prioritize Bridges,Prioritize Bridges,,,
2022-07-18,SW RDC,District 7 & 8,District 7 & 8,,Mentimeter,,,Male,Male,68,65-74,,No Response,,Maintain and expand pedestrian and bicycle infrastructure including making it accessible for all,Maintain and expand pedestrian and bicycle infrastructure including making it accessible for all,Maintain smooth driving surface through repair and reconstruction projects,Maintain smooth driving surface through more repair and reconstruction projects,Partner with cities and counties to address quality of life and economic development,Partner with cities and counties to address community priorities including quality of life and economic development,Improve condition of bridges through more repair and replacement projects,Improve condition of bridges through more repair and replacement projects,,#N/A,Heart,Improve Mobility for All Highway Users,Improve Mobility for All Highway Users,Hwy 59 between Worthington and Fulda is in a really bad state of repare,,
2022-07-18,SW RDC,District 7 & 8,District 7 & 8,,Mentimeter,,,,No Response,,No Response,,No Response,,Improve condition of bridges through more repair and replacement projects,Improve condition of bridges through more repair and replacement projects,Adapt infrastructure to resist damage from extreme weather events and improve  resilience,Adapt infrastructure to resist damage from extreme weather events and improve resilience,Add more freight mobility and safety improvements,Add more freight mobility and safety improvements,Partner with cities and counties to address quality of life and economic development,Partner with cities and counties to address community priorities including quality of life and economic development,Maintain smooth driving surface through repair and reconstruction projects,Maintain smooth driving surface through more repair and reconstruction projects,,Prioritize Pavements/Current Approach,Prioritize Pavements/Current Approach,No comment.,,
2022-07-21,Met Council TAC F&P,Metro District,Metro District,,Mentimeter,55409,55409,Male,Male,56,55-64,White,White,,Maintain and expand pedestrian and bicycle infrastructure including making it accessible for all,Maintain and expand pedestrian and bicycle infrastructure including making it accessible for all,Focus on addressing improvements in urban areas including small towns and main streets,Focus on addressing improvements in urban areas including small towns and main streets,Partner with cities and counties to address quality of life and economic development,Partner with cities and counties to address community priorities including quality of life and economic development,Add new safety improvements,Add new safety improvements,Maintain smooth driving surface through repair and reconstruction projects,Maintain smooth driving surface through more repair and reconstruction projects,,Improve Mobility for All Highway Users,Improve Mobility for All Highway Users,"Support multiple priorities in the final question, but was not able to provide that feedback.",,
2022-07-21,Met Council TAC F&P,Metro District,Metro District,,Mentimeter,,,,No Response,,No Response,,No Response,,Improve readiness for changing transportation technology,Improve readiness for changing transportation technology,Add more freight mobility and safety improvements,Add more freight mobility and safety improvements,Focus on addressing improvements in urban areas including small towns and main streets,Focus on addressing improvements in urban areas including small towns and main streets,Add new safety improvements,Add new safety improvements,Maintain and expand pedestrian and bicycle infrastructure including making it accessible for all,Maintain and expand pedestrian and bicycle infrastructure including making it accessible for all,,,#N/A,,,
2022-07-21,Met Council TAC F&P,Metro District,Metro District,,Mentimeter,,,,No Response,,No Response,,No Response,Heart,,#N/A,,#N/A,,#N/A,,#N/A,,#N/A,,,#N/A,,,
2022-07-21,Met Council TAC F&P,Metro District,Metro District,,Mentimeter,,,,No Response,,No Response,,No Response,Heart,Maintain and expand pedestrian and bicycle infrastructure including making it accessible for all,Maintain and expand pedestrian and bicycle infrastructure including making it accessible for all,Improve condition of bridges through more repair and replacement projects,Improve condition of bridges through more repair and replacement projects,Add more freight mobility and safety improvements,Add more freight mobility and safety improvements,Focus on addressing improvements in urban areas including small towns and main streets,Focus on addressing improvements in urban areas including small towns and main streets,Improve readiness for changing transportation technology,Improve readiness for changing transportation technology,Heart,Improve Mobility for All Highway Users,Improve Mobility for All Highway Users,,,
2022-07-21,Met Council TAC F&P,Metro District,Metro District,,Mentimeter,,,,No Response,,No Response,,No Response,,"Improve condition of other roadside infrastructure like signals, culverts, lighting, walls, and guardrail","Improve condition of roadside infrastructure like signals, culverts, lighting, walls, and guardrail",Improve condition of bridges through more repair and replacement projects,Improve condition of bridges through more repair and replacement projects,Add new safety improvements,Add new safety improvements,Focus on reducing unexpected travel delays through mobility and capacity improvements,Focus on reducing unexpected travel delays through mobility and capacity improvements,Maintain smooth driving surface through repair and reconstruction projects,Maintain smooth driving surface through more repair and reconstruction projects,,Prioritize Bridges,Prioritize Bridges,,,
2022-07-21,Met Council TAC F&P,Metro District,Metro District,,Mentimeter,55369,55369,Male,Male,34,25-34,White,White,,Improve condition of bridges through more repair and replacement projects,Improve condition of bridges through more repair and replacement projects,Add new safety improvements,Add new safety improvements,Focus on addressing improvements in urban areas including small towns and main streets,Focus on addressing improvements in urban areas including small towns and main streets,Maintain smooth driving surface through repair and reconstruction projects,Maintain smooth driving surface through more repair and reconstruction projects,Add more freight mobility and safety improvements,Add more freight mobility and safety improvements,,Improve Mobility for All Highway Users,Improve Mobility for All Highway Users,"Local counties and cities are experiencing similar funding gaps; sometimes making it difficult to cost participate in MnDOT led projects. As a friendly gesture, coordination early and often is key to overcoming this hurdle.",,
2022-07-21,Met Council TAC F&P,Metro District,Metro District,,Mentimeter,55113,55113,Male,Male,31,25-34,White,White,,Improve readiness for changing transportation technology,Improve readiness for changing transportation technology,Maintain and expand pedestrian and bicycle infrastructure including making it accessible for all,Maintain and expand pedestrian and bicycle infrastructure including making it accessible for all,Add new safety improvements,Add new safety improvements,Partner with cities and counties to address quality of life and economic development,Partner with cities and counties to address community priorities including quality of life and economic development,Adapt infrastructure to resist damage from extreme weather events and improve  resilience,Adapt infrastructure to resist damage from extreme weather events and improve resilience,,Adapt to Changing Technology and Climate,Adapt to Changing Technology and Climate Change,,,
2022-07-21,Met Council TAC F&P,Metro District,Metro District,,Mentimeter,,,,No Response,,No Response,,No Response,,Adapt infrastructure to resist damage from extreme weather events and improve  resilience,Adapt infrastructure to resist damage from extreme weather events and improve resilience,Add new safety improvements,Add new safety improvements,Partner with cities and counties to address quality of life and economic development,Partner with cities and counties to address community priorities including quality of life and economic development,Improve readiness for changing transportation technology,Improve readiness for changing transportation technology,Focus on reducing unexpected travel delays through mobility and capacity improvements,Focus on reducing unexpected travel delays through mobility and capacity improvements,,Improve Mobility for All Highway Users,Improve Mobility for All Highway Users,,,
2022-07-21,Met Council TAC F&P,Metro District,Metro District,,Mentimeter,55408,55408,Male,Male,40,35-44,White,White,,Partner with cities and counties to address quality of life and economic development,Partner with cities and counties to address community priorities including quality of life and economic development,Improve condition of bridges through more repair and replacement projects,Improve condition of bridges through more repair and replacement projects,Add new safety improvements,Add new safety improvements,Maintain smooth driving surface through repair and reconstruction projects,Maintain smooth driving surface through more repair and reconstruction projects,Maintain and expand pedestrian and bicycle infrastructure including making it accessible for all,Maintain and expand pedestrian and bicycle infrastructure including making it accessible for all,,Focus on Safe and Equitable Communities,Focus on Safe and Equitable Communities,"Within the bridge concepts, increased funding to make better bridges that are multimodal and reduce the impacts of using the bridge for bikes and peds. For example, more bridges like those around downtown Rochester over Highway 52 that have trees.",,
2022-07-21,Met Council TAC F&P,Metro District,Metro District,,Mentimeter,55417,55417,Male,Male,31,25-34,White,White,,Maintain and expand pedestrian and bicycle infrastructure including making it accessible for all,Maintain and expand pedestrian and bicycle infrastructure including making it accessible for all,Partner with cities and counties to address quality of life and economic development,Partner with cities and counties to address community priorities including quality of life and economic development,Improve readiness for changing transportation technology,Improve readiness for changing transportation technology,"Improve condition of other roadside infrastructure like signals, culverts, lighting, walls, and guardrail","Improve condition of roadside infrastructure like signals, culverts, lighting, walls, and guardrail",Maintain smooth driving surface through repair and reconstruction projects,Maintain smooth driving surface through more repair and reconstruction projects,,Improve Mobility for All Highway Users,Improve Mobility for All Highway Users,,,
2022-07-21,Met Council TAC F&P,Metro District,Metro District,,Mentimeter,55435,55435,Male,Male,42,35-44,White,White,,Add more freight mobility and safety improvements,Add more freight mobility and safety improvements,Improve condition of bridges through more repair and replacement projects,Improve condition of bridges through more repair and replacement projects,Improve readiness for changing transportation technology,Improve readiness for changing transportation technology,Maintain smooth driving surface through repair and reconstruction projects,Maintain smooth driving surface through more repair and reconstruction projects,Focus on reducing unexpected travel delays through mobility and capacity improvements,Focus on reducing unexpected travel delays through mobility and capacity improvements,,Prioritize Bridges,Prioritize Bridges,,,
2022-07-21,Met Council TAC F&P,Metro District,Metro District,,Mentimeter,55406,55406,Male,Male,35,35-44,White,White,,Maintain smooth driving surface through repair and reconstruction projects,Maintain smooth driving surface through more repair and reconstruction projects,"Improve condition of other roadside infrastructure like signals, culverts, lighting, walls, and guardrail","Improve condition of roadside infrastructure like signals, culverts, lighting, walls, and guardrail",Add new safety improvements,Add new safety improvements,Improve condition of bridges through more repair and replacement projects,Improve condition of bridges through more repair and replacement projects,Adapt infrastructure to resist damage from extreme weather events and improve  resilience,Adapt infrastructure to resist damage from extreme weather events and improve resilience,,Adapt to Changing Technology and Climate,Adapt to Changing Technology and Climate Change,,,
2022-07-21,Met Council TAC F&P,Metro District,Metro District,,Mentimeter,55378,55378,Female,Female,39,35-44,White,White,,Maintain smooth driving surface through repair and reconstruction projects,Maintain smooth driving surface through more repair and reconstruction projects,Improve condition of bridges through more repair and replacement projects,Improve condition of bridges through more repair and replacement projects,Add more freight mobility and safety improvements,Add more freight mobility and safety improvements,Partner with cities and counties to address quality of life and economic development,Partner with cities and counties to address community priorities including quality of life and economic development,Maintain and expand pedestrian and bicycle infrastructure including making it accessible for all,Maintain and expand pedestrian and bicycle infrastructure including making it accessible for all,,Prioritize Pavements/Current Approach,Prioritize Pavements/Current Approach,,,
